title,description,fraudulent
"Data Entry Specialist","Work from home typing jobs. High pay! No experience. WhatsApp us for kit.","1"
"Software Engineer","Develop high-quality software in a team environment. Requires Java/Python skills.","0"
"Marketing Manager","Remote marketing role with great benefits. Full-time position.","0"
"Package Handler","Earn $5000 a week doing nothing! Pay security fee via Bitcoin now.","1"
"Customer Service","Help customers with their orders and issues. Office based role.","0"
"Accountant","Manage financial records and taxes for the company. Degree required.","0"
"Urgent Hiring","Earn $2000 weekly just by clicking ads. No interview. Pay $10 registration.","1"
"Python Developer","Building scalable web applications using Django. 2 years experience needed.","0"
"Online Assistant","Easy money! Give bank details and SSN for instant approval and bonus.","1"
"Project Manager","Leading teams and managing project timelines. PMP certification preferred.","0"
"Social Media Manager","Post ads on Facebook. Earn $1500 weekly. No skills. Direct WhatsApp contact.","1"
"Graphic Designer","Creating visual content for social media. Portfolio and Adobe skills required.","0"
"Crypto Trader","Invest $100 in our crypto bot and get $1000 daily. Secure blockchain payment.","1"
"HR Executive","Recruiting and onboarding new employees. Office located in Islamabad/Rawalpindi.","0"
"Secret Agent","Get paid to spy. Very high commission. Buy your own equipment from our link.","1"
"Delivery Partner","Shift based work for food delivery. Must have own bike and license.","0"
"Easy Cash Job","Get paid to sleep! $500 an hour. Just pay the processing fee to start.","1"
"Administrative Assistant","Organize files and schedule meetings. Professional office environment.","0"
"Cloud Engineer","Manage AWS/Azure infrastructure. Experience with Docker and Kubernetes.","0"
"Work from Home","Process payments for international clients. Keep 10% commission. No background check.","1"
"Receptionist","Answering calls and greeting visitors. Good communication skills required.","0"
"Typist Needed","Earn money by re-typing scanned documents. Pay refundable security deposit first.","1"
"Mechanical Engineer","Design and test mechanical systems. 3 years industry experience required.","0"
"Sales Rep","Commission based sales for real estate. Experience in cold calling.","0"
"Gift Card Tester","Test Amazon gift cards and keep them. Pay shipping fee for cards.","1"
"Content Writer","Write SEO friendly articles for our tech blog. Remote or Office.","0"